Functional class,Parent Funcional class,Parent of parent Functional class,Economical class,Parent Economical class,Parent of parent Economical class,Date,Amount (1000 HUF)
082030 - Művészeti tevékenységek (kivéve: színház),0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,22
082030 - Művészeti tevékenységek (kivéve: színház),0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,14
082030 - Művészeti tevékenységek (kivéve: színház),0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,33 - Informatikai szolgáltatások igénybevétele K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,33
082030 - Művészeti tevékenységek (kivéve: színház),0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,322
082030 - Művészeti tevékenységek (kivéve: színház),0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,188 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,160996
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,479
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,2276
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,250
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,130
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,530
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,32328
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,299
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,8996
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,188 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,149448
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,11397
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,3077
082092 - Közművelődés - hagyományos közösségi kulturális értékek gondozása,0820 - Kulturális szolgáltatások,0810 - Szabadidős és sportszolgáltatások,265 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,6580
083030 - Egyéb kiadói tevékenység,0830 - Műsorszolgáltatási és kiadói szolgáltatások,0820 - Kulturális szolgáltatások,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,145731
083030 - Egyéb kiadói tevékenység,0830 - Műsorszolgáltatási és kiadói szolgáltatások,0820 - Kulturális szolgáltatások,47 - Reklám és propagandakiadások K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,2036
083030 - Egyéb kiadói tevékenység,0830 - Műsorszolgáltatási és kiadói szolgáltatások,0820 - Kulturális szolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,39897
084031 - Civil szervezetek működési támogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,184 - ebből egyéb civil szervezetek K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,30324
084031 - Civil szervezetek működési támogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,261 - ebből egyéb civil szervezetek K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,3716
084032 - Civil szervezetek programtámogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,170 - ebből egyéb civil szervezetek K,167 - Működési célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,12000
084032 - Civil szervezetek programtámogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,184 - ebből egyéb civil szervezetek K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,12000
084032 - Civil szervezetek programtámogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,261 - ebből egyéb civil szervezetek K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,7874
084040 - Egyházak közösségi és hitéleti tevékenységének támogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,182 - ebből egyházi jogi személyek K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,10000
084040 - Egyházak közösségi és hitéleti tevékenységének támogatása,0840 - Vallási és egyéb közösségi szolgáltatások,0830 - Műsorszolgáltatási és kiadói szolgáltatások,259 - ebből egyházi jogi személyek K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,26350
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,3182
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,55
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,108
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,989
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",46 - Kiküldetések kiadásai K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,48
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,712
086030 - Nemzetközi kulturális együttműködés,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,33
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,178
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,420
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,102
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,40
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,34
086090 - Egyéb szabadidős szolgáltatás,"0860 - Egyéb szabadidő, kultúra és vallás","0850 - Szabadidős tevékenységekhez, kultúrához és valláshoz kapcsolódó K+F",43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,327
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,825483
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,87061
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1432
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,25798
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,35762
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,3927
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,990
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,39377
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,99
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,24101
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,299809
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,6687
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,1534
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,7296
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,69
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,148
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,148
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,46 - Kiküldetések kiadásai K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,1000
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,7206
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,2749
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,130 - Elvonások és befizetések K,194 - Egyéb működési célú kiadások,271 - Költségvetési kiadások,2014-04-16,12272
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,196 - Ingatlanok beszerzése létesítése,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,1671
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,198 - Informatikai eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,19
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,137
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,491
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,15402
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1867
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,170
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1492
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,910
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,438
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,49
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1546
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,889
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,5419
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,204
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,90
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,201
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,14
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,31
"091120 - Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,12
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,17365
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1745
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,709
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,20
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,353
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,5082
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,116
"091130 - Nemzetiségi óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,132
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,541577
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,36315
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,6417
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,2080
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,5 - Végkielégítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,236
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1556
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,31916
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,2887
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,3615
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,35293
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,1882
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,124462
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,23 - ebből rehabilitációs hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,18804
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,5244
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,327
"091140 - Óvodai nevelés, ellátás működtetési feladatai",0911 - Óvodai nevelés,9 - Oktatás,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,5826
