Level1,Level2,Level3,Total
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),1319
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),356
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),643
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),174
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),11128
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),4
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),284
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),115
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),101
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),394
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),65
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),11
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),40
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),388
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),671
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),32
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),3314
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),164
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),36
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),20
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),111
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),920
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),31
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),11
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),5865
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),55
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),205
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),8
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),375
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),60
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),16
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),1680
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),2000
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Reklám és propagandakiadások K (47),234
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),603
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K (188),92894
Költségvetési kiadások (271),203 - Beruházások (203),Ingatlanok beszerzése létesítése (196),41981
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),1181
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),11654
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),51346
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),13864
Egyéb felhalmozási célú kiadások (270),258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre (258),ebből egyéb civil szervezetek K (261),335170
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),15292
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),4488
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),5340
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),1288
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),63
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),202
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),40180
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),120
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),11073
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),9316
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),1001
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),2101
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),28
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),176
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),5670
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),3866
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),442
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),398
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),44
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),9430
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),120
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),194
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),3570
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),3617
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),89
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),5815
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),5690
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),1938
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),252
Költségvetési kiadások (271),194 - Egyéb működési célú kiadások (194),Elvonások és befizetések K (130),348
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),419
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),4
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),13
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),31
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),294
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),63
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),194
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),22
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),14
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),33
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),322
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K (188),160996
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),479
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),2276
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),250
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),130
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),530
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),32328
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),299
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),8996
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K (188),149448
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),11397
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),3077
Egyéb felhalmozási célú kiadások (270),258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre (258),ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K (265),6580
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),145731
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Reklám és propagandakiadások K (47),2036
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),39897
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből egyéb civil szervezetek K (184),30324
Egyéb felhalmozási célú kiadások (270),258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre (258),ebből egyéb civil szervezetek K (261),3716
Egyéb működési célú kiadások (194),167 - Működési célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre (167),ebből egyéb civil szervezetek K (170),12000
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből egyéb civil szervezetek K (184),12000
Egyéb felhalmozási célú kiadások (270),258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre (258),ebből egyéb civil szervezetek K (261),7874
Egyéb működési célú kiadások (194),181 - Egyéb működési célú támogatások államháztartáson kívülre (181),ebből egyházi jogi személyek K (182),10000
Egyéb felhalmozási célú kiadások (270),258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre (258),ebből egyházi jogi személyek K (259),26350
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),3182
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),55
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),108
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),989
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Kiküldetések kiadásai K (46),48
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),712
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),33
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),178
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),420
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),102
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),40
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),34
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),327
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),825483
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),87061
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),1432
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),25798
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),35762
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),3927
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),990
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),39377
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),99
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),24101
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),299809
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),6687
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),1534
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),7296
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),28753
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),69
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),148
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),148
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Kiküldetések kiadásai K (46),1000
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),7206
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),2749
Költségvetési kiadások (271),194 - Egyéb működési célú kiadások (194),Elvonások és befizetések K (130),12272
Költségvetési kiadások (271),203 - Beruházások (203),Ingatlanok beszerzése létesítése (196),1671
Költségvetési kiadások (271),203 - Beruházások (203),Informatikai eszközök beszerzése létesítése K (198),19
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),137
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),491
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),15402
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),1867
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),170
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),1492
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),910
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),438
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),49
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),1546
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),889
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),5419
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),204
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),90
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),201
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),14
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),31
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),12
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),17365
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),1745
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),709
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),20
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),353
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),5082
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),116
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),132
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),541577
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),36315
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),6417
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),2080
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Végkielégítés K (5),236
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),1556
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),31916
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),2887
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),3615
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),35293
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),1882
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),124462
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből rehabilitációs hozzájárulás K (23),18804
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),5244
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),327
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),5826
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),12308
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),48921
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),2115
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),3022
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),126841
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),447
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),31801
Szolgáltatási kiadások (45),41 - Közvetített szolgáltatások (41),ebből államháztartáson belül K (42),23522
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),5102
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),18825
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Reklám és propagandakiadások K (47),734
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),57415
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),108409
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),5741
Költségvetési kiadások (271),203 - Beruházások (203),Immateriális javak beszerzése létesítése K (195),155
Költségvetési kiadások (271),203 - Beruházások (203),Ingatlanok beszerzése létesítése (196),452297
Költségvetési kiadások (271),203 - Beruházások (203),Informatikai eszközök beszerzése létesítése K (198),1899
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),17848
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),19814
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),42648
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),11515
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),178906
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),17286
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),2097
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),1691
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),14184
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),1746
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),1284
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),14479
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),230
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),1848
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),51495
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),2525
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),1027
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),2559
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),16572
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),2628
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),3012
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),142854
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),653
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),27472
Szolgáltatási kiadások (45),41 - Közvetített szolgáltatások (41),ebből államháztartáson belül K (42),1155
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),2284
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),9522
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),45771
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),2604
Költségvetési kiadások (271),203 - Beruházások (203),Ingatlanok beszerzése létesítése (196),6845
Költségvetési kiadások (271),203 - Beruházások (203),Informatikai eszközök beszerzése létesítése K (198),163
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),1561
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),2313
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),22312
